"","Contrast","GO.ID","Term","Coverage","p"
"1","NvF","GO:0007166","cell surface receptor signaling pathway","181/533 (33.96%)","1.80e-03"
"5","NvF","GO:0007292","female gamete generation","161/511 (31.51%)","6.54e-03"
"9","NvF","GO:0000904","cell morphogenesis involved in different...","128/395 (32.41%)","5.36e-03"
"12","NvF","GO:0006468","protein phosphorylation","124/364 (34.07%)","8.20e-04"
"14","NvF","GO:0009967","positive regulation of signal transducti...","113/342 (33.04%)","4.40e-03"
"18","NvF","GO:0009968","negative regulation of signal transducti...","98/284 (34.51%)","1.79e-03"
"3","WvF","GO:0048666","neuron development","81/512 (15.82%)","8.70e-04"
"17","WvF","GO:0045934","negative regulation of nucleobase-contai...","51/317 (16.09%)","5.57e-03"
"2","WvN","GO:0007166","cell surface receptor signaling pathway","193/533 (36.21%)","3.88e-03"
"4","WvN","GO:0048666","neuron development","181/512 (35.35%)","7.04e-03"
"6","WvN","GO:0007292","female gamete generation","180/511 (35.23%)","4.89e-03"
"7","WvN","GO:0009790","embryo development","145/429 (33.80%)","2.27e-03"
"8","WvN","GO:0048584","positive regulation of response to stimu...","150/422 (35.55%)","1.54e-03"
"10","WvN","GO:0003002","regionalization","135/387 (34.88%)","9.49e-03"
"11","WvN","GO:0032990","cell part morphogenesis","138/377 (36.60%)","5.01e-03"
"13","WvN","GO:0006468","protein phosphorylation","126/364 (34.62%)","1.66e-03"
"15","WvN","GO:0007560","imaginal disc morphogenesis","125/330 (37.88%)","5.74e-03"
"16","WvN","GO:0035220","wing disc development","124/329 (37.69%)","8.66e-03"
"19","WvN","GO:0016477","cell migration","99/259 (38.22%)","1.41e-03"
"20","WvN","GO:0001745","compound eye morphogenesis","92/259 (35.52%)","2.92e-03"
