"GO.ID","Term","Annotated","Significant","Expected","percent.coverage","elim"
"GO:0008150","biological_process",5944,721,742.3,0.121298788694482,1.3e-15
"GO:0009987","cellular process",5565,673,694.97,0.120934411500449,0.00025
"GO:0010639","negative regulation of organelle organiz...",79,20,9.87,0.253164556962025,0.00038
"GO:0048087","positive regulation of developmental pig...",5,4,0.62,0.8,0.00075
"GO:0010605","negative regulation of macromolecule met...",595,92,74.3,0.154621848739496,0.00083
"GO:0048666","neuron development",512,81,63.94,0.158203125,0.00087
"GO:0045807","positive regulation of endocytosis",34,11,4.25,0.323529411764706,9e-04
"GO:0007278","pole cell fate determination",3,3,0.37,1,0.00145
"GO:0016059","deactivation of rhodopsin mediated signa...",13,6,1.62,0.461538461538462,0.00177
"GO:0022416","chaeta development",71,17,8.87,0.23943661971831,0.00197
"GO:0070507","regulation of microtubule cytoskeleton o...",48,13,5.99,0.270833333333333,0.00203
"GO:0046673","negative regulation of compound eye reti...",6,4,0.75,0.666666666666667,0.00204
"GO:0060446","branching involved in open tracheal syst...",49,13,6.12,0.26530612244898,0.00248
"GO:0035149","lumen formation, open tracheal system",28,9,3.5,0.321428571428571,0.00277
"GO:0090162","establishment of epithelial cell polarit...",14,6,1.75,0.428571428571429,0.0028
"GO:2000112","regulation of cellular macromolecule bio...",946,132,118.14,0.13953488372093,0.0042
"GO:0000209","protein polyubiquitination",76,17,9.49,0.223684210526316,0.00423
"GO:0097428","protein maturation by iron-sulfur cluste...",7,4,0.87,0.571428571428571,0.00433
"GO:0014014","negative regulation of gliogenesis",7,4,0.87,0.571428571428571,0.00433
"GO:0002385","mucosal immune response",11,5,1.37,0.454545454545455,0.00476
"GO:0051668","localization within membrane",20,7,2.5,0.35,0.00481
"GO:0010669","epithelial structure maintenance",25,8,3.12,0.32,0.00488
"GO:0098908","regulation of neuronal action potential",4,3,0.5,0.75,0.00532
"GO:0045934","negative regulation of nucleobase-contai...",317,51,39.59,0.160883280757098,0.00557
"GO:0006351","transcription, DNA-templated",884,123,110.4,0.139140271493213,0.00636
"GO:0008293","torso signaling pathway",26,8,3.25,0.307692307692308,0.00637
"GO:0032271","regulation of protein polymerization",67,15,8.37,0.223880597014925,0.00694
"GO:0043044","ATP-dependent chromatin remodeling",43,11,5.37,0.255813953488372,0.00703
"GO:0010608","posttranscriptional regulation of gene e...",182,32,22.73,0.175824175824176,0.00723
"GO:0051252","regulation of RNA metabolic process",912,126,113.89,0.138157894736842,0.00729
"GO:0022409","positive regulation of cell-cell adhesio...",12,5,1.5,0.416666666666667,0.0074
"GO:0048800","antennal morphogenesis",12,5,1.5,0.416666666666667,0.0074
"GO:0006998","nuclear envelope organization",12,5,1.5,0.416666666666667,0.0074
"GO:0045786","negative regulation of cell cycle",87,18,10.86,0.206896551724138,0.00782
"GO:1903828","negative regulation of cellular protein ...",8,4,1,0.5,0.00789
"GO:0007606","sensory perception of chemical stimulus",68,15,8.49,0.220588235294118,0.008
"GO:0006928","movement of cell or subcellular componen...",571,83,71.31,0.145359019264448,0.00842
"GO:0006903","vesicle targeting",17,6,2.12,0.352941176470588,0.00857
"GO:0035214","eye-antennal disc development",51,15,6.37,0.294117647058824,0.00948
"GO:0030041","actin filament polymerization",63,14,7.87,0.222222222222222,0.00957
"GO:0032970","regulation of actin filament-based proce...",102,20,12.74,0.196078431372549,0.00961
"GO:0033045","regulation of sister chromatid segregati...",39,10,4.87,0.256410256410256,0.00982
"GO:0036465","synaptic vesicle recycling",45,11,5.62,0.244444444444444,0.01006
"GO:0007346","regulation of mitotic cell cycle",151,27,18.86,0.178807947019868,0.01043
"GO:1902903","regulation of supramolecular fiber organ...",103,20,12.86,0.194174757281553,0.0107
"GO:0046460","neutral lipid biosynthetic process",13,5,1.62,0.384615384615385,0.01092
"GO:0046463","acylglycerol biosynthetic process",13,5,1.62,0.384615384615385,0.01092
"GO:0014009","glial cell proliferation",13,5,1.62,0.384615384615385,0.01092
"GO:2001251","negative regulation of chromosome organi...",34,9,4.25,0.264705882352941,0.01132
"GO:0033047","regulation of mitotic sister chromatid s...",34,9,4.25,0.264705882352941,0.01132
"GO:0010468","regulation of gene expression",1139,160,142.24,0.140474100087796,0.01141
"GO:0016226","iron-sulfur cluster assembly",18,6,2.25,0.333333333333333,0.01165
"GO:0031163","metallo-sulfur cluster assembly",18,6,2.25,0.333333333333333,0.01165
"GO:0010648","negative regulation of cell communicatio...",307,48,38.34,0.156351791530945,0.01195
"GO:0034308","primary alcohol metabolic process",5,3,0.62,0.6,0.01218
"GO:0031646","positive regulation of nervous system pr...",5,3,0.62,0.6,0.01218
"GO:0000965","mitochondrial RNA 3'-end processing",5,3,0.62,0.6,0.01218
"GO:0031638","zymogen activation",5,3,0.62,0.6,0.01218
"GO:0051208","sequestering of calcium ion",5,3,0.62,0.6,0.01218
"GO:0023057","negative regulation of signaling",308,48,38.46,0.155844155844156,0.01266
"GO:0010863","positive regulation of phospholipase C a...",2,2,0.25,1,0.01284
"GO:0010517","regulation of phospholipase activity",2,2,0.25,1,0.01284
"GO:0010518","positive regulation of phospholipase act...",2,2,0.25,1,0.01284
"GO:0051664","nuclear pore localization",2,2,0.25,1,0.01284
"GO:1905153","regulation of membrane invagination",2,2,0.25,1,0.01284
"GO:0050913","sensory perception of bitter taste",2,2,0.25,1,0.01284
"GO:0007084","mitotic nuclear envelope reassembly",2,2,0.25,1,0.01284
"GO:0045337","farnesyl diphosphate biosynthetic proces...",2,2,0.25,1,0.01284
"GO:0045338","farnesyl diphosphate metabolic process",2,2,0.25,1,0.01284
"GO:0060099","regulation of phagocytosis, engulfment",2,2,0.25,1,0.01284
"GO:0010998","regulation of translational initiation b...",2,2,0.25,1,0.01284
"GO:1901044","protein polyubiquitination involved in n...",2,2,0.25,1,0.01284
"GO:0051971","positive regulation of transmission of n...",2,2,0.25,1,0.01284
"GO:0030091","protein repair",2,2,0.25,1,0.01284
"GO:0045117","azole transmembrane transport",2,2,0.25,1,0.01284
"GO:0043558","regulation of translational initiation i...",2,2,0.25,1,0.01284
"GO:0048075","positive regulation of eye pigmentation",2,2,0.25,1,0.01284
"GO:0048078","positive regulation of compound eye pigm...",2,2,0.25,1,0.01284
"GO:0006437","tyrosyl-tRNA aminoacylation",2,2,0.25,1,0.01284
"GO:0043622","cortical microtubule organization",2,2,0.25,1,0.01284
"GO:0033630","positive regulation of cell adhesion med...",2,2,0.25,1,0.01284
"GO:0045760","positive regulation of action potential",2,2,0.25,1,0.01284
"GO:0007185","transmembrane receptor protein tyrosine ...",2,2,0.25,1,0.01284
"GO:1900274","regulation of phospholipase C activity",2,2,0.25,1,0.01284
"GO:0060191","regulation of lipase activity",2,2,0.25,1,0.01284
"GO:0060193","positive regulation of lipase activity",2,2,0.25,1,0.01284
"GO:1904061","positive regulation of locomotor rhythm",2,2,0.25,1,0.01284
"GO:0097202","activation of cysteine-type endopeptidas...",2,2,0.25,1,0.01284
"GO:0007202","activation of phospholipase C activity",2,2,0.25,1,0.01284
"GO:0010172","embryonic body morphogenesis",2,2,0.25,1,0.01284
"GO:0070829","heterochromatin maintenance",2,2,0.25,1,0.01284
"GO:1904457","positive regulation of neuronal action p...",2,2,0.25,1,0.01284
"GO:0030833","regulation of actin filament polymerizat...",59,13,7.37,0.220338983050847,0.01321
"GO:1903506","regulation of nucleic acid-templated tra...",807,111,100.78,0.137546468401487,0.01343
"GO:0006355","regulation of transcription, DNA-templat...",807,111,100.78,0.137546468401487,0.01343
"GO:2001141","regulation of RNA biosynthetic process",807,111,100.78,0.137546468401487,0.01343
"GO:0035329","hippo signaling",72,15,8.99,0.208333333333333,0.01359
"GO:0000904","cell morphogenesis involved in different...",395,59,49.33,0.149367088607595,0.0146
"GO:0043487","regulation of RNA stability",19,6,2.37,0.315789473684211,0.01543
"GO:0045433","male courtship behavior, veined wing gen...",14,5,1.75,0.357142857142857,0.01544
"GO:0033046","negative regulation of sister chromatid ...",14,5,1.75,0.357142857142857,0.01544
"GO:0032956","regulation of actin cytoskeleton organiz...",100,19,12.49,0.19,0.01584
"GO:0007091","metaphase/anaphase transition of mitotic...",30,8,3.75,0.266666666666667,0.01587
"GO:0010965","regulation of mitotic sister chromatid s...",30,8,3.75,0.266666666666667,0.01587
"GO:1902904","negative regulation of supramolecular fi...",30,8,3.75,0.266666666666667,0.01587
"GO:0051253","negative regulation of RNA metabolic pro...",305,47,38.09,0.154098360655738,0.01644
"GO:0032989","cellular component morphogenesis",476,69,59.44,0.144957983193277,0.01668
"GO:0110053","regulation of actin filament organizatio...",74,15,9.24,0.202702702702703,0.01734
"GO:0035556","intracellular signal transduction",517,74,64.56,0.143133462282398,0.01779
"GO:0043954","cellular component maintenance",25,7,3.12,0.28,0.01804
"GO:0044784","metaphase/anaphase transition of cell cy...",31,8,3.87,0.258064516129032,0.01933
"GO:1905818","regulation of chromosome separation",31,8,3.87,0.258064516129032,0.01933
"GO:0040011","locomotion",535,76,66.81,0.142056074766355,0.01942
"GO:0030322","stabilization of membrane potential",10,4,1.25,0.4,0.01966
"GO:0007200","phospholipase C-activating G protein-cou...",10,4,1.25,0.4,0.01966
"GO:0060251","regulation of glial cell proliferation",10,4,1.25,0.4,0.01966
"GO:0030713","ovarian follicle cell stalk formation",10,4,1.25,0.4,0.01966
"GO:0030832","regulation of actin filament length",62,13,7.74,0.209677419354839,0.01975
"GO:0045017","glycerolipid biosynthetic process",62,13,7.74,0.209677419354839,0.01975
"GO:0008064","regulation of actin polymerization or de...",62,13,7.74,0.209677419354839,0.01975
"GO:0099173","postsynapse organization",20,6,2.5,0.3,0.01999
"GO:0045494","photoreceptor cell maintenance",15,5,1.87,0.333333333333333,0.02104
"GO:0051985","negative regulation of chromosome segreg...",15,5,1.87,0.333333333333333,0.02104
"GO:0048260","positive regulation of receptor-mediated...",15,5,1.87,0.333333333333333,0.02104
"GO:0016545","male courtship behavior, veined wing vib...",15,5,1.87,0.333333333333333,0.02104
"GO:0051784","negative regulation of nuclear division",15,5,1.87,0.333333333333333,0.02104
"GO:0072578","neurotransmitter-gated ion channel clust...",6,3,0.75,0.5,0.02232
"GO:0060026","convergent extension",6,3,0.75,0.5,0.02232
"GO:0006359","regulation of transcription by RNA polym...",6,3,0.75,0.5,0.02232
"GO:0060253","negative regulation of glial cell prolif...",6,3,0.75,0.5,0.02232
"GO:0090224","regulation of spindle organization",6,3,0.75,0.5,0.02232
"GO:0043486","histone exchange",26,7,3.25,0.269230769230769,0.02235
"GO:1900073","regulation of neuromuscular synaptic tra...",26,7,3.25,0.269230769230769,0.02235
"GO:0030071","regulation of mitotic metaphase/anaphase...",26,7,3.25,0.269230769230769,0.02235
"GO:0051783","regulation of nuclear division",63,13,7.87,0.206349206349206,0.0224
"GO:0035088","establishment or maintenance of apical/b...",32,8,4,0.25,0.02329
"GO:0051306","mitotic sister chromatid separation",32,8,4,0.25,0.02329
"GO:0061245","establishment or maintenance of bipolar ...",32,8,4,0.25,0.02329
"GO:0008344","adult locomotory behavior",70,14,8.74,0.2,0.02354
"GO:0007274","neuromuscular synaptic transmission",70,14,8.74,0.2,0.02354
"GO:0051254","positive regulation of RNA metabolic pro...",359,53,44.83,0.147632311977716,0.02456
"GO:0042127","regulation of cell population proliferat...",184,30,22.98,0.16304347826087,0.02486
"GO:0007417","central nervous system development",229,36,28.6,0.157205240174672,0.02518
"GO:1902679","negative regulation of RNA biosynthetic ...",291,44,36.34,0.151202749140893,0.02674
"GO:1903507","negative regulation of nucleic acid-temp...",291,44,36.34,0.151202749140893,0.02674
"GO:0045892","negative regulation of transcription, DN...",291,44,36.34,0.151202749140893,0.02674
"GO:1902099","regulation of metaphase/anaphase transit...",27,7,3.37,0.259259259259259,0.02731
"GO:0007608","sensory perception of smell",39,9,4.87,0.230769230769231,0.02739
"GO:0009968","negative regulation of signal transducti...",284,43,35.47,0.151408450704225,0.02773
"GO:0008407","chaeta morphogenesis",33,8,4.12,0.242424242424242,0.02779
"GO:0048865","stem cell fate commitment",33,8,4.12,0.242424242424242,0.02779
"GO:0030837","negative regulation of actin filament po...",16,5,2,0.3125,0.02782
"GO:0001895","retina homeostasis",16,5,2,0.3125,0.02782
"GO:0006081","cellular aldehyde metabolic process",16,5,2,0.3125,0.02782
"GO:0048065","male courtship behavior, veined wing ext...",16,5,2,0.3125,0.02782
"GO:0031577","spindle checkpoint",11,4,1.37,0.363636363636364,0.02818
"GO:0007094","mitotic spindle assembly checkpoint",11,4,1.37,0.363636363636364,0.02818
"GO:0045498","sex comb development",11,4,1.37,0.363636363636364,0.02818
"GO:0035158","regulation of tube diameter, open trache...",11,4,1.37,0.363636363636364,0.02818
"GO:0016348","imaginal disc-derived leg joint morphoge...",11,4,1.37,0.363636363636364,0.02818
"GO:2000816","negative regulation of mitotic sister ch...",11,4,1.37,0.363636363636364,0.02818
"GO:0045841","negative regulation of mitotic metaphase...",11,4,1.37,0.363636363636364,0.02818
"GO:1904059","regulation of locomotor rhythm",11,4,1.37,0.363636363636364,0.02818
"GO:0071173","spindle assembly checkpoint",11,4,1.37,0.363636363636364,0.02818
"GO:0071174","mitotic spindle checkpoint",11,4,1.37,0.363636363636364,0.02818
"GO:0000266","mitochondrial fission",11,4,1.37,0.363636363636364,0.02818
"GO:0033048","negative regulation of mitotic sister ch...",11,4,1.37,0.363636363636364,0.02818
"GO:0045910","negative regulation of DNA recombination",11,4,1.37,0.363636363636364,0.02818
"GO:0000075","cell cycle checkpoint",52,11,6.49,0.211538461538462,0.02886
"GO:0010629","negative regulation of gene expression",474,67,59.19,0.141350210970464,0.03005
