"GO.ID","Term","Annotated","Significant","Expected","percent.coverage","elim"
"GO:0008150","biological_process",5944,1697,1736.08,0.28549798115747,1.5e-28
"GO:0009987","cellular process",5565,1578,1625.39,0.28355795148248,5e-12
"GO:0042391","regulation of membrane potential",64,31,18.69,0.484375,0.00015
"GO:0006468","protein phosphorylation",364,124,106.31,0.340659340659341,0.00082
"GO:0006914","autophagy",179,67,52.28,0.374301675977654,0.00092
"GO:0042981","regulation of apoptotic process",159,60,46.44,0.377358490566038,0.00133
"GO:0007527","adult somatic muscle development",13,9,3.8,0.692307692307692,0.00163
"GO:0009968","negative regulation of signal transducti...",284,98,82.95,0.345070422535211,0.00179
"GO:0007166","cell surface receptor signaling pathway",533,181,155.67,0.339587242026266,0.0018
"GO:0003006","developmental process involved in reprod...",666,210,194.52,0.315315315315315,0.00187
"GO:0051153","regulation of striated muscle cell diffe...",11,8,3.21,0.727272727272727,0.00188
"GO:0010959","regulation of metal ion transport",44,21,12.85,0.477272727272727,0.00218
"GO:0016319","mushroom body development",61,27,17.82,0.442622950819672,0.00221
"GO:0032501","multicellular organismal process",2352,727,686.96,0.309098639455782,0.00246
"GO:0071711","basement membrane organization",21,12,6.13,0.571428571428571,0.00304
"GO:0035214","eye-antennal disc development",51,23,14.9,0.450980392156863,0.00343
"GO:0008348","negative regulation of antimicrobial hum...",14,9,4.09,0.642857142857143,0.00349
"GO:0008333","endosome to lysosome transport",14,9,4.09,0.642857142857143,0.00349
"GO:0060401","cytosolic calcium ion transport",14,9,4.09,0.642857142857143,0.00349
"GO:0043271","negative regulation of ion transport",14,9,4.09,0.642857142857143,0.00349
"GO:0097485","neuron projection guidance",227,79,66.3,0.348017621145374,0.00373
"GO:0007476","imaginal disc-derived wing morphogenesis",237,82,69.22,0.345991561181435,0.00378
"GO:0044275","cellular carbohydrate catabolic process",24,13,7.01,0.541666666666667,0.00386
"GO:0043487","regulation of RNA stability",19,11,5.55,0.578947368421053,0.00396
"GO:0110020","regulation of actomyosin structure organ...",19,11,5.55,0.578947368421053,0.00396
"GO:0009967","positive regulation of signal transducti...",342,113,99.89,0.330409356725146,0.0044
"GO:0034765","regulation of ion transmembrane transpor...",35,17,10.22,0.485714285714286,0.00449
"GO:0055002","striated muscle cell development",58,25,16.94,0.431034482758621,0.00487
"GO:0031669","cellular response to nutrient levels",79,32,23.07,0.40506329113924,0.00502
"GO:0030950","establishment or maintenance of actin cy...",4,4,1.17,1,0.00506
"GO:0048802","notum morphogenesis",4,4,1.17,1,0.00506
"GO:0051282","regulation of sequestering of calcium io...",4,4,1.17,1,0.00506
"GO:0072384","organelle transport along microtubule",22,12,6.43,0.545454545454545,0.00508
"GO:0006509","membrane protein ectodomain proteolysis",10,7,2.92,0.7,0.0052
"GO:0000904","cell morphogenesis involved in different...",395,128,115.37,0.324050632911392,0.00536
"GO:0048513","animal organ development",970,317,283.31,0.32680412371134,0.00565
"GO:0009147","pyrimidine nucleoside triphosphate metab...",8,6,2.34,0.75,0.006
"GO:0043085","positive regulation of catalytic activit...",172,61,50.24,0.354651162790698,0.00638
"GO:0007292","female gamete generation",511,161,149.25,0.315068493150685,0.00654
"GO:0031398","positive regulation of protein ubiquitin...",15,9,4.38,0.6,0.00667
"GO:0042753","positive regulation of circadian rhythm",20,11,5.84,0.55,0.0067
"GO:0035149","lumen formation, open tracheal system",28,14,8.18,0.5,0.00701
"GO:0051128","regulation of cellular component organiz...",652,206,190.43,0.315950920245399,0.00713
"GO:0045087","innate immune response",131,48,38.26,0.366412213740458,0.0074
"GO:0007167","enzyme linked receptor protein signaling...",236,80,68.93,0.338983050847458,0.00759
"GO:0001763","morphogenesis of a branching structure",51,22,14.9,0.431372549019608,0.00793
"GO:0060047","heart contraction",23,12,6.72,0.521739130434783,0.00808
"GO:0009206","purine ribonucleoside triphosphate biosy...",23,12,6.72,0.521739130434783,0.00808
"GO:0035330","regulation of hippo signaling",66,27,19.28,0.409090909090909,0.00818
"GO:0045475","locomotor rhythm",60,25,17.52,0.416666666666667,0.00818
"GO:0048518","positive regulation of biological proces...",1369,422,399.85,0.308254200146092,0.0087
"GO:0030239","myofibril assembly",46,20,13.44,0.434782608695652,0.01003
"GO:0009267","cellular response to starvation",73,29,21.32,0.397260273972603,0.01005
"GO:0048520","positive regulation of behavior",29,14,8.47,0.482758620689655,0.01028
"GO:0006997","nucleus organization",52,22,15.19,0.423076923076923,0.01035
"GO:0022603","regulation of anatomical structure morph...",232,78,67.76,0.336206896551724,0.01038
"GO:0007469","antennal development",21,11,6.13,0.523809523809524,0.01072
"GO:1901135","carbohydrate derivative metabolic proces...",334,108,97.55,0.323353293413174,0.0108
"GO:0048477","oogenesis",479,150,139.9,0.313152400835073,0.0108
"GO:0002785","negative regulation of antimicrobial pep...",11,7,3.21,0.636363636363636,0.01103
"GO:1904059","regulation of locomotor rhythm",11,7,3.21,0.636363636363636,0.01103
"GO:0007455","eye-antennal disc morphogenesis",32,15,9.35,0.46875,0.01111
