"GO.ID","Term","Annotated","Significant","Expected","percent.coverage","elim"
"GO:0008150","biological_process",5944,567,586.17,0.0953903095558546,4.9e-14
"GO:0007294","germarium-derived oocyte fate determinat...",22,8,2.17,0.363636363636364,0.00039
"GO:0035149","lumen formation, open tracheal system",28,9,2.76,0.321428571428571,0.00049
"GO:0009306","protein secretion",73,16,7.2,0.219178082191781,0.00055
"GO:0040016","embryonic cleavage",3,3,0.3,1,0.00071
"GO:0007604","phototransduction, UV",3,3,0.3,1,0.00071
"GO:0032879","regulation of localization",447,66,44.08,0.147651006711409,0.00098
"GO:0009953","dorsal/ventral pattern formation",126,25,12.43,0.198412698412698,0.00115
"GO:0048569","post-embryonic animal organ development",386,51,38.07,0.132124352331606,0.0024
"GO:0019432","triglyceride biosynthetic process",12,5,1.18,0.416666666666667,0.00258
"GO:0048522","positive regulation of cellular process",1259,140,124.16,0.11119936457506,0.00262
"GO:0030950","establishment or maintenance of actin cy...",4,3,0.39,0.75,0.00264
"GO:0002090","regulation of receptor internalization",4,3,0.39,0.75,0.00264
"GO:0071896","protein localization to adherens junctio...",4,3,0.39,0.75,0.00264
"GO:0007616","long-term memory",62,13,6.11,0.209677419354839,0.00273
"GO:0009888","tissue development",825,105,81.36,0.127272727272727,0.00275
"GO:0051016","barbed-end actin filament capping",8,4,0.79,0.5,0.00327
"GO:0050896","response to stimulus",1977,208,194.96,0.105209914011128,0.00401
"GO:0048813","dendrite morphogenesis",128,21,12.62,0.1640625,0.00427
"GO:0010256","endomembrane system organization",156,26,15.38,0.166666666666667,0.00445
"GO:0032507","maintenance of protein location in cell",19,6,1.87,0.315789473684211,0.00484
"GO:0007614","short-term memory",25,7,2.47,0.28,0.005
"GO:0035296","regulation of tube diameter",14,5,1.38,0.357142857142857,0.00561
"GO:0035159","regulation of tube length, open tracheal...",32,8,3.16,0.25,0.00583
"GO:0009886","post-embryonic animal morphogenesis",385,49,37.97,0.127272727272727,0.00613
"GO:0071689","muscle thin filament assembly",5,3,0.49,0.6,0.00615
"GO:0010883","regulation of lipid storage",39,9,3.85,0.230769230769231,0.00621
"GO:1905879","regulation of oogenesis",61,12,6.02,0.19672131147541,0.00674
"GO:0023052","signaling",1302,143,128.4,0.109831029185868,0.00708
"GO:0006909","phagocytosis",40,9,3.94,0.225,0.0074
"GO:0070593","dendrite self-avoidance",15,5,1.48,0.333333333333333,0.00781
"GO:0060048","cardiac muscle contraction",2,2,0.2,1,0.00794
"GO:0007185","transmembrane receptor protein tyrosine ...",2,2,0.2,1,0.00794
"GO:0060298","positive regulation of sarcomere organiz...",2,2,0.2,1,0.00794
"GO:0070782","phosphatidylserine exposure on apoptotic...",2,2,0.2,1,0.00794
"GO:0032438","melanosome organization",2,2,0.2,1,0.00794
"GO:0051663","oocyte nucleus localization involved in ...",10,4,0.99,0.4,0.00849
"GO:0072002","Malpighian tubule development",48,10,4.73,0.208333333333333,0.00858
"GO:0006417","regulation of translation",119,19,11.74,0.159663865546218,0.00859
"GO:0033047","regulation of mitotic sister chromatid s...",34,8,3.35,0.235294117647059,0.00859
"GO:0009887","animal organ morphogenesis",607,71,59.86,0.116968698517298,0.00869
"GO:0050794","regulation of cellular process",2679,290,264.19,0.108249346771183,0.00944
"GO:0060446","branching involved in open tracheal syst...",49,10,4.83,0.204081632653061,0.00994
"GO:0034765","regulation of ion transmembrane transpor...",35,8,3.45,0.228571428571429,0.01029
"GO:0061355","Wnt protein secretion",16,5,1.58,0.3125,0.01055
"GO:1904064","positive regulation of cation transmembr...",22,6,2.17,0.272727272727273,0.01057
"GO:0007552","metamorphosis",387,48,38.16,0.124031007751938,0.01067
"GO:0048563","post-embryonic animal organ morphogenesi...",330,42,32.54,0.127272727272727,0.01079
"GO:0007560","imaginal disc morphogenesis",330,42,32.54,0.127272727272727,0.01079
"GO:0007165","signal transduction",1107,123,109.17,0.111111111111111,0.01092
"GO:0007444","imaginal disc development",475,57,46.84,0.12,0.01104
"GO:0007154","cell communication",1340,145,132.15,0.108208955223881,0.01111
"GO:0048732","gland development",148,22,14.6,0.148648648648649,0.01134
"GO:0043902","positive regulation of multi-organism pr...",50,10,4.93,0.2,0.01147
"GO:0019233","sensory perception of pain",6,3,0.59,0.5,0.01149
"GO:0072499","photoreceptor cell axon guidance",29,7,2.86,0.241379310344828,0.01187
"GO:0120035","regulation of plasma membrane bounded ce...",140,21,13.81,0.15,0.01195
"GO:0031344","regulation of cell projection organizati...",140,21,13.81,0.15,0.01195
"GO:0050906","detection of stimulus involved in sensor...",36,8,3.55,0.222222222222222,0.01223
"GO:0034762","regulation of transmembrane transport",36,8,3.55,0.222222222222222,0.01223
"GO:0035158","regulation of tube diameter, open trache...",11,4,1.08,0.363636363636364,0.01242
"GO:0090254","cell elongation involved in imaginal dis...",11,4,1.08,0.363636363636364,0.01242
"GO:0009891","positive regulation of biosynthetic proc...",420,51,41.42,0.121428571428571,0.01279
"GO:0031328","positive regulation of cellular biosynth...",420,51,41.42,0.121428571428571,0.01279
"GO:0034767","positive regulation of ion transmembrane...",23,6,2.27,0.260869565217391,0.01325
"GO:0035114","imaginal disc-derived appendage morphoge...",278,36,27.42,0.129496402877698,0.01362
"GO:0048707","instar larval or pupal morphogenesis",374,46,36.88,0.122994652406417,0.0142
"GO:0007091","metaphase/anaphase transition of mitotic...",30,7,2.96,0.233333333333333,0.01433
"GO:0010965","regulation of mitotic sister chromatid s...",30,7,2.96,0.233333333333333,0.01433
"GO:0050708","regulation of protein secretion",30,7,2.96,0.233333333333333,0.01433
"GO:0010975","regulation of neuron projection developm...",108,17,10.65,0.157407407407407,0.01435
"GO:0009950","dorsal/ventral axis specification",62,14,6.11,0.225806451612903,0.01451
"GO:0008587","imaginal disc-derived wing margin morpho...",52,10,5.13,0.192307692307692,0.01504
"GO:2000243","positive regulation of reproductive proc...",52,10,5.13,0.192307692307692,0.01504
"GO:0035107","appendage morphogenesis",280,36,27.61,0.128571428571429,0.01512
"GO:0051050","positive regulation of transport",126,19,12.43,0.150793650793651,0.01548
"GO:0090150","establishment of protein localization to...",76,13,7.49,0.171052631578947,0.01589
"GO:0035120","post-embryonic appendage morphogenesis",272,35,26.82,0.128676470588235,0.01627
"GO:0035220","wing disc development",329,41,32.44,0.124620060790274,0.01633
"GO:0034764","positive regulation of transmembrane tra...",24,6,2.37,0.25,0.01637
"GO:0040011","locomotion",535,62,52.76,0.11588785046729,0.01675
"GO:0035272","exocrine system development",93,15,9.17,0.161290322580645,0.01683
"GO:0007431","salivary gland development",93,15,9.17,0.161290322580645,0.01683
"GO:0010646","regulation of cell communication",737,82,72.68,0.111261872455902,0.01698
"GO:0023051","regulation of signaling",737,82,72.68,0.111261872455902,0.01698
"GO:0001703","gastrulation with mouth forming first",31,7,3.06,0.225806451612903,0.01712
"GO:0044784","metaphase/anaphase transition of cell cy...",31,7,3.06,0.225806451612903,0.01712
"GO:1905818","regulation of chromosome separation",31,7,3.06,0.225806451612903,0.01712
"GO:0010004","gastrulation involving germ band extensi...",31,7,3.06,0.225806451612903,0.01712
"GO:1903429","regulation of cell maturation",31,7,3.06,0.225806451612903,0.01712
"GO:0046011","regulation of oskar mRNA translation",12,4,1.18,0.333333333333333,0.01734
