"GO.ID","Term","Annotated","Significant","Expected","percent.coverage","elim"
"GO:0009987","cellular process",5565,1638,1662.15,0.294339622641509,1.9e-11
"GO:0007517","muscle organ development",79,37,23.6,0.468354430379747,2e-04
"GO:0048523","negative regulation of cellular process",997,320,297.78,0.320962888665998,0.00043
"GO:0051241","negative regulation of multicellular org...",169,66,50.48,0.390532544378698,0.00076
"GO:0007476","imaginal disc-derived wing morphogenesis",237,88,70.79,0.371308016877637,0.00078
"GO:0070936","protein K48-linked ubiquitination",10,8,2.99,0.8,0.00087
"GO:0051128","regulation of cellular component organiz...",652,235,194.74,0.360429447852761,0.0011
"GO:0007310","oocyte dorsal/ventral axis specification",31,17,9.26,0.548387096774194,0.00126
"GO:0016477","cell migration",259,99,77.36,0.382239382239382,0.00141
"GO:0048584","positive regulation of response to stimu...",422,150,126.04,0.355450236966825,0.00154
"GO:0006468","protein phosphorylation",364,126,108.72,0.346153846153846,0.00166
"GO:0045167","asymmetric protein localization involved...",15,10,4.48,0.666666666666667,0.00185
"GO:0009790","embryo development",429,145,128.13,0.337995337995338,0.00227
"GO:0043062","extracellular structure organization",62,28,18.52,0.451612903225806,0.00229
"GO:0070534","protein K63-linked ubiquitination",7,6,2.09,0.857142857142857,0.00238
"GO:1901739","regulation of myoblast fusion",7,6,2.09,0.857142857142857,0.00238
"GO:0002785","negative regulation of antimicrobial pep...",11,8,3.29,0.727272727272727,0.00242
"GO:0048935","peripheral nervous system neuron develop...",9,7,2.69,0.777777777777778,0.00255
"GO:0007411","axon guidance",220,80,65.71,0.363636363636364,0.0026
"GO:0003006","developmental process involved in reprod...",666,228,198.92,0.342342342342342,0.00272
"GO:0001745","compound eye morphogenesis",259,92,77.36,0.355212355212355,0.00292
"GO:0030111","regulation of Wnt signaling pathway",85,40,25.39,0.470588235294118,0.00298
"GO:0003383","apical constriction",18,11,5.38,0.611111111111111,0.003
"GO:0050803","regulation of synapse structure or activ...",169,70,50.48,0.414201183431953,0.00357
"GO:0007166","cell surface receptor signaling pathway",533,193,159.2,0.362101313320826,0.00388
"GO:0008582","regulation of synaptic growth at neuromu...",105,42,31.36,0.4,0.00394
"GO:0007292","female gamete generation",511,180,152.62,0.352250489236791,0.00489
"GO:0032990","cell part morphogenesis",377,138,112.6,0.36604774535809,0.00501
