"GO.ID","Term","Annotated","Significant","Expected","percent.coverage","elim"
"GO:0008150","biological_process",5944,407,433.79,0.0684724091520861,4.5e-09
"GO:0007165","signal transduction",1107,101,80.79,0.0912375790424571,0.00013
"GO:0050877","nervous system process",306,36,22.33,0.117647058823529,0.00024
"GO:0048513","animal organ development",970,85,70.79,0.0876288659793814,0.00104
"GO:0050804","modulation of chemical synaptic transmis...",120,17,8.76,0.141666666666667,0.00153
"GO:0045995","regulation of embryonic development",62,11,4.52,0.17741935483871,0.00169
"GO:0048814","regulation of dendrite morphogenesis",29,7,2.12,0.241379310344828,0.0019
"GO:0001678","cellular glucose homeostasis",5,3,0.36,0.6,0.00236
"GO:0051780","behavioral response to nutrient",5,3,0.36,0.6,0.00236
"GO:0010883","regulation of lipid storage",39,8,2.85,0.205128205128205,0.00279
"GO:0003012","muscle system process",31,7,2.26,0.225806451612903,0.00287
"GO:0048583","regulation of response to stimulus",776,70,56.63,0.0902061855670103,0.00298
"GO:0005980","glycogen catabolic process",17,5,1.24,0.294117647058824,0.00341
"GO:0043516","regulation of DNA damage response, signa...",2,2,0.15,1,0.00409
"GO:0034250","positive regulation of cellular amide me...",60,10,4.38,0.166666666666667,0.00434
"GO:0050686","negative regulation of mRNA processing",6,3,0.44,0.5,0.0045
"GO:0022604","regulation of cell morphogenesis",131,21,9.56,0.16030534351145,0.00462
"GO:0097485","neuron projection guidance",227,25,16.57,0.110132158590308,0.00517
"GO:0030166","proteoglycan biosynthetic process",19,5,1.39,0.263157894736842,0.00577
"GO:0007623","circadian rhythm",126,16,9.2,0.126984126984127,0.00628
"GO:0042391","regulation of membrane potential",64,10,4.67,0.15625,0.00695
"GO:0010648","negative regulation of cell communicatio...",307,31,22.4,0.100977198697068,0.00716
"GO:0030308","negative regulation of cell growth",20,5,1.46,0.25,0.00729
"GO:0070252","actin-mediated cell contraction",20,5,1.46,0.25,0.00729
"GO:0051239","regulation of multicellular organismal p...",633,65,46.2,0.102685624012638,0.00746
"GO:0035149","lumen formation, open tracheal system",28,6,2.04,0.214285714285714,0.00748
"GO:0023057","negative regulation of signaling",308,31,22.48,0.100649350649351,0.0075
"GO:0017085","response to insecticide",7,3,0.51,0.428571428571429,0.00751
"GO:0007422","peripheral nervous system development",46,8,3.36,0.173913043478261,0.00799
"GO:0008594","photoreceptor cell morphogenesis",14,4,1.02,0.285714285714286,0.0099
"GO:0002165","instar larval or pupal development",458,42,33.42,0.091703056768559,0.01033
"GO:0061564","axon development",290,29,21.16,0.1,0.01042
"GO:0007409","axonogenesis",278,28,20.29,0.100719424460432,0.0107
"GO:0050803","regulation of synapse structure or activ...",169,19,12.33,0.112426035502959,0.01126
"GO:0035090","maintenance of apical/basal cell polarit...",8,3,0.58,0.375,0.01145
"GO:1901799","negative regulation of proteasomal prote...",8,3,0.58,0.375,0.01145
"GO:2000036","regulation of stem cell population maint...",3,2,0.22,0.666666666666667,0.01174
"GO:0009589","detection of UV",3,2,0.22,0.666666666666667,0.01174
"GO:1990261","pre-mRNA catabolic process",3,2,0.22,0.666666666666667,0.01174
"GO:0040016","embryonic cleavage",3,2,0.22,0.666666666666667,0.01174
"GO:0007604","phototransduction, UV",3,2,0.22,0.666666666666667,0.01174
"GO:1900364","negative regulation of mRNA polyadenylat...",3,2,0.22,0.666666666666667,0.01174
"GO:0106036","assembly of apicomedial cortex actomyosi...",3,2,0.22,0.666666666666667,0.01174
"GO:0031441","negative regulation of mRNA 3'-end proce...",3,2,0.22,0.666666666666667,0.01174
"GO:0032970","regulation of actin filament-based proce...",102,13,7.44,0.127450980392157,0.01273
"GO:0070593","dendrite self-avoidance",15,4,1.09,0.266666666666667,0.01283
"GO:0007274","neuromuscular synaptic transmission",70,10,5.11,0.142857142857143,0.01294
"GO:0007411","axon guidance",220,23,16.06,0.104545454545455,0.01308
"GO:0009791","post-embryonic development",519,46,37.88,0.0886319845857418,0.0134
"GO:0006936","muscle contraction",23,5,1.68,0.217391304347826,0.01351
"GO:0022416","chaeta development",71,10,5.18,0.140845070422535,0.01423
"GO:0008299","isoprenoid biosynthetic process",16,4,1.17,0.25,0.01626
"GO:0007616","long-term memory",62,9,4.52,0.145161290322581,0.01627
"GO:0048518","positive regulation of biological proces...",1369,110,99.91,0.0803506208911614,0.01641
"GO:0045727","positive regulation of translation",33,6,2.41,0.181818181818182,0.01678
"GO:0050769","positive regulation of neurogenesis",106,13,7.74,0.122641509433962,0.0172
"GO:0044087","regulation of cellular component biogene...",290,28,21.16,0.096551724137931,0.01814
"GO:0007430","terminal branching, open tracheal system",25,5,1.82,0.2,0.0192
"GO:0007614","short-term memory",25,5,1.82,0.2,0.0192
"GO:0035295","tube development",592,54,43.2,0.0912162162162162,0.01942
"GO:0000003","reproduction",879,71,64.15,0.080773606370876,0.01948
"GO:0045087","innate immune response",131,15,9.56,0.114503816793893,0.01967
"GO:0045088","regulation of innate immune response",64,9,4.67,0.140625,0.01974
"GO:0061919","process utilizing autophagic mechanism",179,19,13.06,0.106145251396648,0.01982
"GO:0006914","autophagy",179,19,13.06,0.106145251396648,0.01982
"GO:0007475","apposition of dorsal and ventral imagina...",17,4,1.24,0.235294117647059,0.02021
"GO:0000904","cell morphogenesis involved in different...",395,43,28.83,0.108860759493671,0.02035
"GO:0030855","epithelial cell differentiation",319,30,23.28,0.0940438871473354,0.0206
"GO:0032270","positive regulation of cellular protein ...",242,24,17.66,0.0991735537190083,0.02064
"GO:0009888","tissue development",825,67,60.21,0.0812121212121212,0.02076
"GO:0010256","endomembrane system organization",156,17,11.38,0.108974358974359,0.0212
"GO:0048813","dendrite morphogenesis",128,19,9.34,0.1484375,0.02147
"GO:0051234","establishment of localization",1360,104,99.25,0.0764705882352941,0.02149
"GO:0030534","adult behavior",121,14,8.83,0.115702479338843,0.0219
"GO:0120035","regulation of plasma membrane bounded ce...",140,20,10.22,0.142857142857143,0.02217
"GO:0031344","regulation of cell projection organizati...",140,20,10.22,0.142857142857143,0.02217
"GO:0051241","negative regulation of multicellular org...",169,18,12.33,0.106508875739645,0.02228
"GO:0008343","adult feeding behavior",10,3,0.73,0.3,0.02228
"GO:0062125","regulation of mitochondrial gene express...",10,3,0.73,0.3,0.02228
"GO:0071569","protein ufmylation",4,2,0.29,0.5,0.0225
"GO:0070131","positive regulation of mitochondrial tra...",4,2,0.29,0.5,0.0225
"GO:0060004","reflex",4,2,0.29,0.5,0.0225
"GO:0007637","proboscis extension reflex",4,2,0.29,0.5,0.0225
"GO:0008203","cholesterol metabolic process",4,2,0.29,0.5,0.0225
"GO:1900363","regulation of mRNA polyadenylation",4,2,0.29,0.5,0.0225
"GO:0045048","protein insertion into ER membrane",4,2,0.29,0.5,0.0225
"GO:0071333","cellular response to glucose stimulus",4,2,0.29,0.5,0.0225
"GO:0009987","cellular process",5565,377,406.13,0.0677448337825696,0.02251
"GO:1900073","regulation of neuromuscular synaptic tra...",26,5,1.9,0.192307692307692,0.02256
"GO:0006810","transport",1321,101,96.41,0.0764572293716881,0.02368
"GO:0016236","macroautophagy",88,11,6.42,0.125,0.02396
"GO:0032879","regulation of localization",447,44,32.62,0.0984340044742729,0.024
"GO:0009968","negative regulation of signal transducti...",284,27,20.73,0.0950704225352113,0.02407
"GO:1904396","regulation of neuromuscular junction dev...",111,13,8.1,0.117117117117117,0.02434
"GO:0003383","apical constriction",18,4,1.31,0.222222222222222,0.02471
"GO:0032956","regulation of actin cytoskeleton organiz...",100,12,7.3,0.12,0.0252
"GO:0044057","regulation of system process",46,7,3.36,0.152173913043478,0.02562
"GO:0010975","regulation of neuron projection developm...",108,17,7.88,0.157407407407407,0.02616
"GO:0051960","regulation of nervous system development",332,35,24.23,0.105421686746988,0.02621
"GO:0006821","chloride transport",27,5,1.97,0.185185185185185,0.02628
"GO:0050807","regulation of synapse organization",148,16,10.8,0.108108108108108,0.02663
"GO:0010769","regulation of cell morphogenesis involve...",87,15,6.35,0.172413793103448,0.02823
"GO:0050775","positive regulation of dendrite morphoge...",11,3,0.8,0.272727272727273,0.02921
"GO:1903051","negative regulation of proteolysis invol...",11,3,0.8,0.272727272727273,0.02921
"GO:0090257","regulation of muscle system process",11,3,0.8,0.272727272727273,0.02921
"GO:0050790","regulation of catalytic activity",276,26,20.14,0.0942028985507246,0.02934
"GO:1901888","regulation of cell junction assembly",114,13,8.32,0.114035087719298,0.02957
"GO:0035050","embryonic heart tube development",19,4,1.39,0.210526315789474,0.02976
"GO:0110020","regulation of actomyosin structure organ...",19,4,1.39,0.210526315789474,0.02976
"GO:0035220","wing disc development",329,30,24.01,0.0911854103343465,0.02995
